threshold	accuracy	precision	recall	f1-score
0.69	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.7	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.71	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.72	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.73	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.74	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.75	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.76	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.77	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
0.78	0.9742647058823529	0.9552237380263077	0.9411764705882353	0.9481430782156642
