threshold	accuracy	precision	recall	f1-score
0.74	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.75	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.76	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.77	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.78	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.79	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.8	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.81	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.82	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.83	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
0.84	0.7867647058823529	0.8095236810279871	0.75	0.7786209020773237
